# Local branches/worktrees compact index
Generated: 2026-07-22T23:08:54+04:00
Repo: /home/sjors/dev/astro-plan
Branches total: 515 | Attached: 12 | Orphaned: 503
Detached worktree snapshots: 3
Worktrees total: 15 | Attached: 12 | Detached: 3

## 1) Branches
idx | state | branch | upstream | status | file_count | sample_changed_paths
189 | orphaned | feat/879-equipment-wiring | origin/feat/879-equipment-wiring | (none) | 0 | (none)
190 | orphaned | feat/943-attribution-suggest | origin/feat/943-attribution-suggest | (none) | 0 | (none)
191 | orphaned | feat/bh1a-camera-sensor-geometry | origin/feat/bh1a-camera-sensor-geometry | [behind 4] | 6 | apps/desktop/src-tauri/src/lib.rs, apps/desktop/src-tauri/src/main.rs, apps/desktop/src/splash/main.ts
192 | orphaned | feat/hew-alias-autodetect | origin/feat/hew-alias-autodetect | (none) | 0 | (none)
193 | orphaned | feat/ic9h-11-targeting-domain | origin/feat/ic9h-11-targeting-domain | (none) | 0 | (none)
194 | orphaned | feat/ic9h-12-topology-persistence | origin/main | (none) | 0 | (none)
195 | orphaned | feat/ic9h-4-session-identity | origin/feat/ic9h-4-session-identity | (none) | 0 | (none)
196 | orphaned | feat/ic9h-6-portable-contracts | origin/feat/ic9h-6-portable-contracts | (none) | 0 | (none)
197 | orphaned | feat/ic9h-7-normalized-schema | origin/feat/ic9h-7-normalized-schema | (none) | 0 | (none)
198 | orphaned | feat/ic9h-8-command-ledger | origin/feat/ic9h-8-command-ledger | (none) | 0 | (none)
199 | orphaned | feat/nku-sessions-camera | origin/feat/nku-sessions-camera | [behind 34] | 165 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
200 | attached | feat/pre-1.0-db-baseline | origin/feat/pre-1.0-db-baseline | [behind 5] | 16 | Cargo.lock, crates/persistence/db/README.md, crates/persistence/db/tests/baseline_invariants.rs
201 | orphaned | feat/r17-target-resolution-gate | origin/feat/r17-target-resolution-gate | (none) | 0 | (none)
202 | orphaned | feat/sd-foundation-outputs | origin/feat/sd-foundation-outputs | [behind 7] | 46 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
